h,"0,5","0,6","0,7","0,8","0,9",1,"1,1","1,2","1,3","1,4","1,5","1,6","1,7","1,8","1,9",2,"2,1","2,2","2,3","2,4","2,5","2,6","2,7","2,8"
1,"$44,72","$49,88","$54,94","$60,11","$65,17","$70,23","$75,41","$80,45","$85,61","$90,69","$95,84","$100,91","$105,95","$111,25","$116,81","$122,66","$128,79","$133,94","$139,30","$144,87","$150,66","$156,69","$162,96","$169,48"
"1,2","$49,59","$55,42","$61,25","$66,99","$72,82","$78,56","$84,39","$90,21","$95,94","$101,77","$107,59","$113,33","$119,00","$124,95","$131,19","$137,75","$144,64","$150,43","$156,44","$162,70","$169,21","$175,98","$183,02","$190,34"
"1,4","$54,47","$60,96","$70,15","$75,45","$82,07","$88,59","$95,22","$99,87","$110,61","$117,38","$124,13","$130,78","$137,32","$144,18","$151,39","$158,96","$166,91","$173,59","$180,53","$187,75","$195,26","$203,07","$211,20","$219,64"
"1,6","$59,35","$66,52","$75,14","$84,08","$89,77","$98,98","$104,39","$109,51","$121,34","$128,80","$137,56","$145,09","$152,34","$159,96","$167,95","$176,35","$185,17","$192,58","$200,28","$208,29","$216,62","$225,29","$234,30","$243,67"
"1,8","$64,31","$72,15","$81,58","$89,58","$97,57","$105,55","$113,65","$119,26","$132,18","$140,33","$148,47","$156,72","$164,56","$172,79","$181,43","$190,50","$200,02","$208,03","$216,35","$225,00","$234,00","$243,36","$253,10","$263,22"
2,"$69,19","$77,69","$86,19","$94,79","$103,31","$111,82","$120,41","$128,90","$143,01","$151,85","$160,70","$169,65","$178,13","$187,04","$196,39","$206,21","$216,52","$225,18","$234,19","$243,56","$253,30","$263,43","$273,97","$284,93"
"2,2","$74,06","$83,23","$92,49","$101,67","$110,95","$120,11","$129,39","$138,65","$150,78","$160,24","$169,60","$179,06","$188,01","$197,41","$207,28","$217,64","$228,52","$237,67","$247,17","$257,06","$267,34","$278,04","$289,16","$300,72"
"2,4","$78,93","$88,87","$98,72","$108,65","$120,96","$133,56","$141,13","$148,31","$158,25","$168,09","$178,04","$187,96","$197,36","$207,23","$217,59","$228,47","$239,90","$249,49","$259,47","$269,85","$280,64","$291,87","$303,54","$315,69"
"2,6","$83,80","$94,42","$105,02","$115,64","$128,76","$139,47","$150,31","$157,96","$168,57","$179,17","$189,78","$200,38","$210,40","$220,91","$231,96","$243,56","$255,74","$265,97","$276,60","$287,67","$299,18","$311,14","$323,59","$336,53"
"2,8","$88,67","$99,95","$111,23","$122,51","$136,45","$147,96","$159,56","$167,70","$178,98","$190,26","$201,53","$212,81","$223,45","$234,62","$246,35","$258,67","$271,60","$282,47","$293,77","$305,52","$317,74","$330,45","$343,66","$357,41"
3,"$93,54","$105,60","$117,53","$129,48","$144,26","$159,51","$168,72","$177,37","$189,30","$201,24","$213,29","$225,22","$236,48","$248,30","$260,72","$273,76","$287,44","$298,94","$310,90","$323,34","$336,27","$349,72","$363,71","$378,26"
"3,2","$99,16","$111,93","$124,59","$137,25","$152,92","$169,08","$178,85","$188,01","$200,66","$213,32","$226,09","$238,73","$250,67","$263,20","$276,36","$290,18","$304,69","$316,88","$329,55","$342,74","$356,44","$370,70","$385,53","$400,95"
"3,4","$105,11","$118,65","$132,06","$145,49","$162,09","$179,22","$189,58","$199,29","$212,70","$226,11","$239,66","$253,06","$265,71","$279,00","$292,95","$307,59","$322,97","$335,89","$349,33","$363,30","$377,83","$392,94","$408,66","$425,01"
"3,6","$111,41","$125,77","$139,98","$154,21","$171,82","$189,97","$200,95","$211,25","$225,46","$239,68","$254,03","$268,24","$281,65","$295,74","$310,52","$326,05","$342,35","$356,04","$370,29","$385,10","$400,50","$416,52","$433,18","$450,51"
"3,8","$118,10","$133,31","$148,38","$163,47","$182,13","$201,37","$213,01","$223,92","$238,99","$254,06","$269,28","$284,33","$298,55","$313,48","$329,15","$345,61","$362,89","$377,41","$392,50","$408,20","$424,53","$441,51","$459,17","$477,54"
4,"$125,18","$141,31","$157,29","$173,28","$193,05","$213,45","$225,79","$237,36","$253,33","$269,31","$285,43","$301,39","$316,46","$332,29","$348,90","$366,35","$384,66","$400,05","$416,05","$432,70","$450,00","$468,00","$486,72","$506,19"
"4,2","$132,69","$149,79","$166,72","$183,67","$204,64","$226,26","$239,34","$251,60","$268,53","$285,46","$302,56","$319,48","$335,45","$352,23","$369,84","$388,33","$407,74","$424,05","$441,02","$458,66","$477,00","$496,08","$515,93","$536,56"
"4,4","$140,66","$158,78","$176,73","$194,69","$216,92","$239,84","$253,70","$266,69","$284,64","$302,59","$320,71","$338,65","$355,58","$373,36","$392,03","$411,63","$432,21","$449,50","$467,48","$486,18","$505,62","$525,85","$546,88","$568,76"
"4,5","$144,88","$163,54","$182,03","$200,53","$223,42","$247,03","$261,31","$274,69","$293,18","$311,67","$330,33","$348,81","$366,25","$384,56","$403,79","$423,98","$445,18","$462,98","$481,50","$500,76","$520,79","$541,62","$563,29","$585,82"
