h,"0,3","0,4","0,5","0,6","0,7","0,8","0,9",1,"1,1","1,2","1,3","1,4","1,5"
"0,3","$9,34","$10,28","$11,21","$12,14","$12,61","$13,54","$14,47","$15,42","$15,88","$16,82","$17,75","$18,68","$19,62"
"0,4","$9,81","$10,74","$11,68","$12,61","$13,54","$14,47","$15,42","$16,35","$16,82","$17,75","$18,68","$19,62","$21,02"
"0,5","$10,28","$11,21","$12,14","$13,07","$14,01","$14,95","$16,35","$17,28","$18,22","$19,15","$20,08","$21,02","$22,42"
"0,6","$10,74","$11,68","$12,61","$14,01","$14,95","$15,88","$16,82","$18,22","$19,15","$20,08","$21,02","$21,95","$23,82"
"0,7","$11,21","$12,14","$13,54","$14,47","$15,42","$16,82","$17,75","$19,15","$20,08","$21,02","$22,42","$23,35","$25,22"
"0,8","$11,21","$12,61","$14,01","$14,95","$16,35","$17,28","$18,68","$20,08","$21,02","$22,42","$23,35","$24,75","$26,62"
"0,9","$11,92","$13,34","$14,76","$16,20","$17,15","$18,58","$19,62","$20,55","$21,95","$23,35","$24,75","$25,69","$27,56"
"1,0","$12,39","$14,09","$15,55","$17,01","$18,45","$19,53","$20,55","$21,49","$22,89","$24,29","$25,69","$27,09","$28,96"
"1,1","$12,70","$14,71","$16,19","$17,49","$18,94","$20,01","$21,02","$22,42","$24,29","$25,69","$27,09","$28,49","$30,36"
"1,2","$13,18","$15,20","$16,67","$18,14","$19,91","$21,37","$21,95","$23,35","$25,22","$26,62","$28,03","$29,43","$31,75"
"1,3","$13,68","$15,70","$17,17","$19,13","$20,40","$22,35","$22,89","$24,29","$26,15","$27,56","$29,43","$30,83","$33,16"
"1,4","$13,88","$16,03","$17,97","$19,43","$21,37","$22,50","$23,82","$25,22","$27,09","$28,96","$30,36","$32,23","$34,56"
"1,5","$14,29","$16,52","$18,45","$19,91","$21,87","$23,35","$24,75","$26,15","$28,03","$29,89","$31,75","$33,16","$35,50"
"1,6","$14,76","$16,76","$18,67","$20,89","$22,50","$24,30","$25,22","$27,09","$28,96","$30,83","$32,70","$34,56","$36,90"
"1,7","$15,25","$17,15","$19,05","$21,06","$22,87","$24,77","$26,15","$28,03","$29,89","$31,75","$34,10","$35,96","$38,30"
"1,8","$14,95","$17,28","$19,15","$21,02","$23,35","$25,22","$27,09","$28,96","$31,29","$33,16","$35,03","$36,90","$39,70"
"1,9","$15,42","$17,75","$19,62","$21,95","$23,82","$26,15","$28,49","$30,36","$32,70","$34,56","$36,90","$38,77","$41,10"
"2,0","$15,88","$18,22","$20,08","$22,42","$24,75","$27,09","$28,96","$31,29","$33,63","$35,50","$37,83","$40,17","$42,50"
"2,1","$16,35","$18,68","$21,02","$22,89","$25,22","$27,56","$29,89","$32,23","$34,56","$36,90","$39,23","$41,57","$43,90"
"2,2","$16,82","$19,15","$21,49","$23,82","$26,15","$28,49","$30,83","$33,16","$35,50","$37,83","$40,17","$42,50","$44,84"
